"license","id","owner","secret","server","farm","title","ispublic","isfriend","isfamily","dateupload","lastupdate","datetaken","datetakengranularity","datetakenunknown","count_views","count_faves","count_comments","accuracy","context","place_id","woeid","geo_is_public","geo_is_contact","geo_is_friend","geo_is_family","url_sq","height_sq","width_sq","url_t","height_t","width_t","url_s","height_s","width_s","url_q","height_q","width_q","url_n","height_n","width_n","url_o","height_o","width_o","url_m","height_m","width_m","url_z","height_z","width_z","url_c","height_c","width_c","url_l","height_l","width_l","longitude","latitude","geometry","within","license_name","license_url"
0,5409565965,"54984550@N05","ea9d5ca27d",5180,6,"The lemon dealer",NA,NA,NA,2011-02-02 09:04:20,2011-02-02 09:42:31,2011-02-02 09:04:20,0,0,34,0,0,16,0,"gNBqY0dQUbvJmRNL",1313880,NA,NA,NA,NA,"https://live.staticflickr.com/5180/5409565965_ea9d5ca27d_s.jpg",75,75,"https://live.staticflickr.com/5180/5409565965_ea9d5ca27d_t.jpg",67,100,"https://live.staticflickr.com/5180/5409565965_ea9d5ca27d_m.jpg",160,240,"https://live.staticflickr.com/5180/5409565965_ea9d5ca27d_q.jpg",150,150,"https://live.staticflickr.com/5180/5409565965_ea9d5ca27d_n.jpg",213,320,"https://live.staticflickr.com/5180/5409565965_1364632426_o.jpg",240,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.387332,11.593975,"c(37.387332, 11.593975)","1","All Rights Reserved","NA"
0,5513586374,"56361402@N05","54e6c5a825",5058,6,"Ethiopia - 12 Feb. 2011",NA,NA,NA,2011-03-09 23:46:57,2011-10-31 12:01:13,2011-02-12 12:48:33,0,0,83,0,0,16,0,"wdhlm81TUb6KS52m",2345312,NA,NA,NA,NA,"https://live.staticflickr.com/5058/5513586374_54e6c5a825_s.jpg",75,75,"https://live.staticflickr.com/5058/5513586374_54e6c5a825_t.jpg",75,100,"https://live.staticflickr.com/5058/5513586374_54e6c5a825_m.jpg",180,240,"https://live.staticflickr.com/5058/5513586374_54e6c5a825_q.jpg",150,150,"https://live.staticflickr.com/5058/5513586374_54e6c5a825_n.jpg",240,320,"https://live.staticflickr.com/5058/5513586374_756b5dc262_o.jpg",600,800,"https://live.staticflickr.com/5058/5513586374_54e6c5a825.jpg",375,500,"https://live.staticflickr.com/5058/5513586374_54e6c5a825_z.jpg",480,640,"https://live.staticflickr.com/5058/5513586374_54e6c5a825_c.jpg",600,800,NA,NA,NA,37.629727,12.25575,"c(37.629727, 12.25575)","1","All Rights Reserved","NA"
0,6321380507,"56361402@N05","d1ec45f497",6224,7,"Lunch break Ethiopia",NA,NA,NA,2011-11-07 09:23:00,2011-11-07 16:57:37,2011-02-12 12:48:33,0,0,543,0,0,16,0,"wdhlm81TUb6KS52m",2345312,NA,NA,NA,NA,"https://live.staticflickr.com/6224/6321380507_d1ec45f497_s.jpg",75,75,"https://live.staticflickr.com/6224/6321380507_d1ec45f497_t.jpg",75,100,"https://live.staticflickr.com/6224/6321380507_d1ec45f497_m.jpg",180,240,"https://live.staticflickr.com/6224/6321380507_d1ec45f497_q.jpg",150,150,"https://live.staticflickr.com/6224/6321380507_d1ec45f497_n.jpg",240,320,"https://live.staticflickr.com/6224/6321380507_71dbb74c44_o.jpg",2448,3264,"https://live.staticflickr.com/6224/6321380507_d1ec45f497.jpg",375,500,"https://live.staticflickr.com/6224/6321380507_d1ec45f497_z.jpg",480,640,"https://live.staticflickr.com/6224/6321380507_d1ec45f497_c.jpg",600,800,"https://live.staticflickr.com/6224/6321380507_d1ec45f497_b.jpg",768,1024,37.629727,12.25575,"c(37.629727, 12.25575)","1","All Rights Reserved","NA"
0,6524469173,"70341007@N02","152bb58258",7034,8,"2011-0221-ethiopia-bahir-dar-atanas-for-scaffolding-4367",NA,NA,NA,2011-12-17 07:22:59,2014-02-22 18:09:36,2011-02-21 11:06:14,0,0,363,0,0,16,0,"gNBqY0dQUbvJmRNL",1313880,NA,NA,NA,NA,"https://live.staticflickr.com/7034/6524469173_152bb58258_s.jpg",75,75,"https://live.staticflickr.com/7034/6524469173_152bb58258_t.jpg",75,100,"https://live.staticflickr.com/7034/6524469173_152bb58258_m.jpg",180,240,"https://live.staticflickr.com/7034/6524469173_152bb58258_q.jpg",150,150,"https://live.staticflickr.com/7034/6524469173_152bb58258_n.jpg",240,320,"https://live.staticflickr.com/7034/6524469173_a9e4095fb8_o.jpg",768,1024,"https://live.staticflickr.com/7034/6524469173_152bb58258.jpg",375,500,"https://live.staticflickr.com/7034/6524469173_152bb58258_z.jpg",480,640,"https://live.staticflickr.com/7034/6524469173_152bb58258_c.jpg",600,800,"https://live.staticflickr.com/7034/6524469173_152bb58258_b.jpg",768,1024,37.387043,11.587932,"c(37.387043, 11.587932)","1","All Rights Reserved","NA"
0,6006534192,"56587123@N07","3a7c38db67",6003,7,"Women on the Portuguese bridge. Blue Nile river, Ethiopia",NA,NA,NA,2011-08-03 20:28:00,2011-08-03 20:32:34,2011-04-21 13:15:04,0,0,670,0,0,16,0,"gNBqY0dQUbvJmRNL",1313880,NA,NA,NA,NA,"https://live.staticflickr.com/6003/6006534192_3a7c38db67_s.jpg",75,75,"https://live.staticflickr.com/6003/6006534192_3a7c38db67_t.jpg",69,100,"https://live.staticflickr.com/6003/6006534192_3a7c38db67_m.jpg",165,240,"https://live.staticflickr.com/6003/6006534192_3a7c38db67_q.jpg",150,150,"https://live.staticflickr.com/6003/6006534192_3a7c38db67_n.jpg",219,320,NA,NA,NA,"https://live.staticflickr.com/6003/6006534192_3a7c38db67.jpg",343,500,"https://live.staticflickr.com/6003/6006534192_3a7c38db67_z.jpg",439,640,"https://live.staticflickr.com/6003/6006534192_3a7c38db67_c.jpg",548,800,"https://live.staticflickr.com/6003/6006534192_3a7c38db67_b.jpg",702,1024,37.39643,11.54655,"c(37.39643, 11.54655)","1","All Rights Reserved","NA"
0,6025306757,"56587123@N07","70ea5723ff",6189,7,"People crossing the Blue Nile river. Ethiopia",NA,NA,NA,2011-08-09 14:01:31,2011-08-11 19:27:55,2011-04-21 14:50:37,0,0,449,0,0,16,0,"gNBqY0dQUbvJmRNL",1313880,NA,NA,NA,NA,"https://live.staticflickr.com/6189/6025306757_70ea5723ff_s.jpg",75,75,"https://live.staticflickr.com/6189/6025306757_70ea5723ff_t.jpg",66,100,"https://live.staticflickr.com/6189/6025306757_70ea5723ff_m.jpg",159,240,"https://live.staticflickr.com/6189/6025306757_70ea5723ff_q.jpg",150,150,"https://live.staticflickr.com/6189/6025306757_70ea5723ff_n.jpg",212,320,NA,NA,NA,"https://live.staticflickr.com/6189/6025306757_70ea5723ff.jpg",331,500,"https://live.staticflickr.com/6189/6025306757_70ea5723ff_z.jpg",423,640,"https://live.staticflickr.com/6189/6025306757_70ea5723ff_c.jpg",529,800,"https://live.staticflickr.com/6189/6025306757_70ea5723ff_b.jpg",677,1024,37.392997,11.545036,"c(37.392997, 11.545036)","1","All Rights Reserved","NA"
0,6022651767,"56587123@N07","a3926c85cb",6185,7,"Young girl in Tis Isat, Ethiopia",NA,NA,NA,2011-08-08 19:33:34,2012-05-01 22:12:45,2011-04-21 15:02:25,0,0,621,1,0,16,0,"gNBqY0dQUbvJmRNL",1313880,NA,NA,NA,NA,"https://live.staticflickr.com/6185/6022651767_a3926c85cb_s.jpg",75,75,"https://live.staticflickr.com/6185/6022651767_a3926c85cb_t.jpg",67,100,"https://live.staticflickr.com/6185/6022651767_a3926c85cb_m.jpg",160,240,"https://live.staticflickr.com/6185/6022651767_a3926c85cb_q.jpg",150,150,"https://live.staticflickr.com/6185/6022651767_a3926c85cb_n.jpg",213,320,NA,NA,NA,"https://live.staticflickr.com/6185/6022651767_a3926c85cb.jpg",333,500,"https://live.staticflickr.com/6185/6022651767_a3926c85cb_z.jpg",427,640,"https://live.staticflickr.com/6185/6022651767_a3926c85cb_c.jpg",533,800,"https://live.staticflickr.com/6185/6022651767_a3926c85cb_b.jpg",683,1024,37.393341,11.545961,"c(37.393341, 11.545961)","1","All Rights Reserved","NA"
0,6022651809,"56587123@N07","2ec2a52553",6121,7,"Bamboo raft crossing the Blue Nile river. Ethiopia",NA,NA,NA,2011-08-08 19:33:35,2011-08-08 19:52:19,2011-04-22 06:10:03,0,0,469,0,0,16,0,"gNBqY0dQUbvJmRNL",1313880,NA,NA,NA,NA,"https://live.staticflickr.com/6121/6022651809_2ec2a52553_s.jpg",75,75,"https://live.staticflickr.com/6121/6022651809_2ec2a52553_t.jpg",67,100,"https://live.staticflickr.com/6121/6022651809_2ec2a52553_m.jpg",160,240,"https://live.staticflickr.com/6121/6022651809_2ec2a52553_q.jpg",150,150,"https://live.staticflickr.com/6121/6022651809_2ec2a52553_n.jpg",213,320,NA,NA,NA,"https://live.staticflickr.com/6121/6022651809_2ec2a52553.jpg",333,500,"https://live.staticflickr.com/6121/6022651809_2ec2a52553_z.jpg",427,640,"https://live.staticflickr.com/6121/6022651809_2ec2a52553_c.jpg",533,800,"https://live.staticflickr.com/6121/6022651809_2ec2a52553_b.jpg",683,1024,37.394542,11.543355,"c(37.394542, 11.543355)","1","All Rights Reserved","NA"
0,6022651821,"56587123@N07","6fd9fafc0c",6203,7,"Ethiopian fruit",NA,NA,NA,2011-08-08 19:33:35,2011-08-08 19:48:30,2011-04-22 06:15:33,0,0,386,0,0,16,0,"gNBqY0dQUbvJmRNL",1313880,NA,NA,NA,NA,"https://live.staticflickr.com/6203/6022651821_6fd9fafc0c_s.jpg",75,75,"https://live.staticflickr.com/6203/6022651821_6fd9fafc0c_t.jpg",67,100,"https://live.staticflickr.com/6203/6022651821_6fd9fafc0c_m.jpg",160,240,"https://live.staticflickr.com/6203/6022651821_6fd9fafc0c_q.jpg",150,150,"https://live.staticflickr.com/6203/6022651821_6fd9fafc0c_n.jpg",213,320,NA,NA,NA,"https://live.staticflickr.com/6203/6022651821_6fd9fafc0c.jpg",333,500,"https://live.staticflickr.com/6203/6022651821_6fd9fafc0c_z.jpg",427,640,"https://live.staticflickr.com/6203/6022651821_6fd9fafc0c_c.jpg",533,800,"https://live.staticflickr.com/6203/6022651821_6fd9fafc0c_b.jpg",683,1024,37.384414,11.5912,"c(37.384414, 11.5912)","1","All Rights Reserved","NA"
0,6033095734,"56587123@N07","59d46e2988",6121,7,"Priest reading Holy writings in a monastery. Tana lake, Ethiopia",NA,NA,NA,2011-08-11 18:12:23,2020-03-19 23:24:57,2011-04-22 06:42:32,0,0,721,3,0,16,0,"gNBqY0dQUbvJmRNL",1313880,NA,NA,NA,NA,"https://live.staticflickr.com/6121/6033095734_59d46e2988_s.jpg",75,75,"https://live.staticflickr.com/6121/6033095734_59d46e2988_t.jpg",100,67,"https://live.staticflickr.com/6121/6033095734_59d46e2988_m.jpg",240,160,"https://live.staticflickr.com/6121/6033095734_59d46e2988_q.jpg",150,150,"https://live.staticflickr.com/6121/6033095734_59d46e2988_n.jpg",320,213,NA,NA,NA,"https://live.staticflickr.com/6121/6033095734_59d46e2988.jpg",500,333,"https://live.staticflickr.com/6121/6033095734_59d46e2988_z.jpg",640,427,"https://live.staticflickr.com/6121/6033095734_59d46e2988_c.jpg",800,533,"https://live.staticflickr.com/6121/6033095734_59d46e2988_b.jpg",1024,683,37.385787,11.601458,"c(37.385787, 11.601458)","1","All Rights Reserved","NA"
