"license","id","owner","secret","server","farm","title","ispublic","isfriend","isfamily","dateupload","lastupdate","datetaken","datetakengranularity","datetakenunknown","count_views","count_faves","count_comments","accuracy","context","place_id","woeid","geo_is_public","geo_is_contact","geo_is_friend","geo_is_family","url_sq","height_sq","width_sq","url_t","height_t","width_t","url_s","height_s","width_s","url_q","height_q","width_q","url_m","height_m","width_m","url_n","height_n","width_n","url_z","height_z","width_z","url_c","height_c","width_c","url_l","height_l","width_l","url_o","height_o","width_o","longitude","latitude","geometry","within","license_name","license_url"
0,23958612434,"127021923@N08","4006948cf1",1493,2,"D4F_2032",NA,NA,NA,2016-01-24 18:33:52,2016-01-24 18:33:56,2016-01-01 09:45:29,0,0,91,0,0,16,0,"dJHCm1BQUbscvkX8",1312874,NA,NA,NA,NA,"https://live.staticflickr.com/1493/23958612434_4006948cf1_s.jpg",75,75,"https://live.staticflickr.com/1493/23958612434_4006948cf1_t.jpg",67,100,"https://live.staticflickr.com/1493/23958612434_4006948cf1_m.jpg",162,240,"https://live.staticflickr.com/1493/23958612434_4006948cf1_q.jpg",150,150,"https://live.staticflickr.com/1493/23958612434_4006948cf1.jpg",337,500,"https://live.staticflickr.com/1493/23958612434_4006948cf1_n.jpg",216,320,"https://live.staticflickr.com/1493/23958612434_4006948cf1_z.jpg",431,640,"https://live.staticflickr.com/1493/23958612434_4006948cf1_c.jpg",539,800,"https://live.staticflickr.com/1493/23958612434_4006948cf1_b.jpg",690,1024,"https://live.staticflickr.com/1493/23958612434_2eb995837e_o.jpg",2914,4325,37.594391,11.48735,"c(37.594391, 11.48735)","1","All Rights Reserved","NA"
0,23941186294,"127021923@N08","90215f4c38",1522,2,"D4F_2044",NA,NA,NA,2016-01-24 00:00:48,2016-01-24 00:01:22,2016-01-01 09:46:09,0,0,93,0,0,16,0,"dJHCm1BQUbscvkX8",1312874,NA,NA,NA,NA,"https://live.staticflickr.com/1522/23941186294_90215f4c38_s.jpg",75,75,"https://live.staticflickr.com/1522/23941186294_90215f4c38_t.jpg",100,64,"https://live.staticflickr.com/1522/23941186294_90215f4c38_m.jpg",240,154,"https://live.staticflickr.com/1522/23941186294_90215f4c38_q.jpg",150,150,"https://live.staticflickr.com/1522/23941186294_90215f4c38.jpg",500,320,"https://live.staticflickr.com/1522/23941186294_90215f4c38_n.jpg",320,205,"https://live.staticflickr.com/1522/23941186294_90215f4c38_z.jpg",640,410,"https://live.staticflickr.com/1522/23941186294_90215f4c38_c.jpg",800,512,"https://live.staticflickr.com/1522/23941186294_90215f4c38_b.jpg",1024,655,"https://live.staticflickr.com/1522/23941186294_2f21dce374_o.jpg",3915,2505,37.594227,11.487438,"c(37.594227, 11.487438)","1","All Rights Reserved","NA"
0,24201578589,"127021923@N08","431634abfe",1562,2,"D4F_2050",NA,NA,NA,2016-01-24 00:00:49,2016-01-24 00:01:22,2016-01-01 09:46:12,0,0,87,0,0,16,0,"dJHCm1BQUbscvkX8",1312874,NA,NA,NA,NA,"https://live.staticflickr.com/1562/24201578589_431634abfe_s.jpg",75,75,"https://live.staticflickr.com/1562/24201578589_431634abfe_t.jpg",100,64,"https://live.staticflickr.com/1562/24201578589_431634abfe_m.jpg",240,154,"https://live.staticflickr.com/1562/24201578589_431634abfe_q.jpg",150,150,"https://live.staticflickr.com/1562/24201578589_431634abfe.jpg",500,322,"https://live.staticflickr.com/1562/24201578589_431634abfe_n.jpg",320,206,"https://live.staticflickr.com/1562/24201578589_431634abfe_z.jpg",640,412,"https://live.staticflickr.com/1562/24201578589_431634abfe_c.jpg",800,514,"https://live.staticflickr.com/1562/24201578589_431634abfe_b.jpg",1024,658,"https://live.staticflickr.com/1562/24201578589_a237efb42f_o.jpg",4611,2965,37.594225,11.487438,"c(37.594225, 11.487438)","1","All Rights Reserved","NA"
0,24273817200,"127021923@N08","62cc18bc51",1523,2,"D4F_2047",NA,NA,NA,2016-01-24 00:00:48,2016-01-24 00:01:22,2016-01-01 09:46:11,0,0,106,0,0,16,0,"dJHCm1BQUbscvkX8",1312874,NA,NA,NA,NA,"https://live.staticflickr.com/1523/24273817200_62cc18bc51_s.jpg",75,75,"https://live.staticflickr.com/1523/24273817200_62cc18bc51_t.jpg",100,64,"https://live.staticflickr.com/1523/24273817200_62cc18bc51_m.jpg",240,153,"https://live.staticflickr.com/1523/24273817200_62cc18bc51_q.jpg",150,150,"https://live.staticflickr.com/1523/24273817200_62cc18bc51.jpg",500,320,"https://live.staticflickr.com/1523/24273817200_62cc18bc51_n.jpg",320,205,"https://live.staticflickr.com/1523/24273817200_62cc18bc51_z.jpg",640,409,"https://live.staticflickr.com/1523/24273817200_62cc18bc51_c.jpg",800,512,"https://live.staticflickr.com/1523/24273817200_62cc18bc51_b.jpg",1024,655,"https://live.staticflickr.com/1523/24273817200_9ddf1aa7c9_o.jpg",4116,2632,37.594227,11.487438,"c(37.594227, 11.487438)","1","All Rights Reserved","NA"
0,24504456541,"127021923@N08","aea4049a1b",1567,2,"D4F_2053_copyAnd2more_tonemapped",NA,NA,NA,2016-01-24 18:33:52,2016-01-24 18:33:55,2016-01-01 09:50:21,0,0,116,0,0,16,0,"dJHCm1BQUbscvkX8",1312874,NA,NA,NA,NA,"https://live.staticflickr.com/1567/24504456541_aea4049a1b_s.jpg",75,75,"https://live.staticflickr.com/1567/24504456541_aea4049a1b_t.jpg",67,100,"https://live.staticflickr.com/1567/24504456541_aea4049a1b_m.jpg",160,240,"https://live.staticflickr.com/1567/24504456541_aea4049a1b_q.jpg",150,150,"https://live.staticflickr.com/1567/24504456541_aea4049a1b.jpg",333,500,"https://live.staticflickr.com/1567/24504456541_aea4049a1b_n.jpg",213,320,"https://live.staticflickr.com/1567/24504456541_aea4049a1b_z.jpg",426,640,"https://live.staticflickr.com/1567/24504456541_aea4049a1b_c.jpg",532,800,"https://live.staticflickr.com/1567/24504456541_aea4049a1b_b.jpg",681,1024,"https://live.staticflickr.com/1567/24504456541_92b4b75623_o.jpg",3115,4681,37.594355,11.487905,"c(37.594355, 11.487905)","1","All Rights Reserved","NA"
0,24487122601,"127021923@N08","cc220ea48b",1529,2,"D4F_2217_00004",NA,NA,NA,2016-01-24 00:01:11,2016-01-24 00:01:22,2016-01-01 11:18:25,0,0,65,0,0,16,0,"dJHCm1BQUbscvkX8",1312874,NA,NA,NA,NA,"https://live.staticflickr.com/1529/24487122601_cc220ea48b_s.jpg",75,75,"https://live.staticflickr.com/1529/24487122601_cc220ea48b_t.jpg",67,100,"https://live.staticflickr.com/1529/24487122601_cc220ea48b_m.jpg",162,240,"https://live.staticflickr.com/1529/24487122601_cc220ea48b_q.jpg",150,150,"https://live.staticflickr.com/1529/24487122601_cc220ea48b.jpg",337,500,"https://live.staticflickr.com/1529/24487122601_cc220ea48b_n.jpg",216,320,"https://live.staticflickr.com/1529/24487122601_cc220ea48b_z.jpg",431,640,"https://live.staticflickr.com/1529/24487122601_cc220ea48b_c.jpg",539,800,"https://live.staticflickr.com/1529/24487122601_cc220ea48b_b.jpg",690,1024,"https://live.staticflickr.com/1529/24487122601_69aa6f429a_o.jpg",2697,4004,37.580272,11.489577,"c(37.580272, 11.489577)","1","All Rights Reserved","NA"
0,24201539609,"127021923@N08","318d22ca70",1682,2,"D4F_2230",NA,NA,NA,2016-01-24 00:00:55,2016-01-24 00:01:22,2016-01-01 13:20:56,0,0,101,0,0,16,0,"A_2gf0lYUrKVs5Xb7g",90874444,NA,NA,NA,NA,"https://live.staticflickr.com/1682/24201539609_318d22ca70_s.jpg",75,75,"https://live.staticflickr.com/1682/24201539609_318d22ca70_t.jpg",67,100,"https://live.staticflickr.com/1682/24201539609_318d22ca70_m.jpg",161,240,"https://live.staticflickr.com/1682/24201539609_318d22ca70_q.jpg",150,150,"https://live.staticflickr.com/1682/24201539609_318d22ca70.jpg",335,500,"https://live.staticflickr.com/1682/24201539609_318d22ca70_n.jpg",215,320,"https://live.staticflickr.com/1682/24201539609_318d22ca70_z.jpg",429,640,"https://live.staticflickr.com/1682/24201539609_318d22ca70_c.jpg",537,800,"https://live.staticflickr.com/1682/24201539609_318d22ca70_b.jpg",687,1024,"https://live.staticflickr.com/1682/24201539609_2b8b266ca2_o.jpg",2703,4030,37.392897,11.605536,"c(37.392897, 11.605536)","1","All Rights Reserved","NA"
0,23942492073,"127021923@N08","38a5a38b10",1665,2,"D4F_2242",NA,NA,NA,2016-01-24 00:00:56,2016-01-24 00:01:22,2016-01-01 14:22:22,0,0,92,0,0,16,0,"xuR79C5QUbhRRhLm",1320989,NA,NA,NA,NA,"https://live.staticflickr.com/1665/23942492073_38a5a38b10_s.jpg",75,75,"https://live.staticflickr.com/1665/23942492073_38a5a38b10_t.jpg",74,100,"https://live.staticflickr.com/1665/23942492073_38a5a38b10_m.jpg",177,240,"https://live.staticflickr.com/1665/23942492073_38a5a38b10_q.jpg",150,150,"https://live.staticflickr.com/1665/23942492073_38a5a38b10.jpg",368,500,"https://live.staticflickr.com/1665/23942492073_38a5a38b10_n.jpg",235,320,"https://live.staticflickr.com/1665/23942492073_38a5a38b10_z.jpg",471,640,"https://live.staticflickr.com/1665/23942492073_38a5a38b10_c.jpg",589,800,"https://live.staticflickr.com/1665/23942492073_38a5a38b10_b.jpg",753,1024,"https://live.staticflickr.com/1665/23942492073_c88e7f0dd9_o.jpg",3264,4436,37.355438,11.706361,"c(37.355438, 11.706361)","1","All Rights Reserved","NA"
0,24543123046,"127021923@N08","77aff9467d",1585,2,"D4F_2244",NA,NA,NA,2016-01-24 00:00:56,2016-01-24 00:01:22,2016-01-01 14:26:00,0,0,125,0,0,16,0,"xuR79C5QUbhRRhLm",1320989,NA,NA,NA,NA,"https://live.staticflickr.com/1585/24543123046_77aff9467d_s.jpg",75,75,"https://live.staticflickr.com/1585/24543123046_77aff9467d_t.jpg",100,64,"https://live.staticflickr.com/1585/24543123046_77aff9467d_m.jpg",240,154,"https://live.staticflickr.com/1585/24543123046_77aff9467d_q.jpg",150,150,"https://live.staticflickr.com/1585/24543123046_77aff9467d.jpg",500,322,"https://live.staticflickr.com/1585/24543123046_77aff9467d_n.jpg",320,206,"https://live.staticflickr.com/1585/24543123046_77aff9467d_z.jpg",640,412,"https://live.staticflickr.com/1585/24543123046_77aff9467d_c.jpg",800,515,"https://live.staticflickr.com/1585/24543123046_77aff9467d_b.jpg",1024,659,"https://live.staticflickr.com/1585/24543123046_fa7c4f3e38_o.jpg",3132,2016,37.355263,11.705411,"c(37.355263, 11.705411)","1","All Rights Reserved","NA"
0,24201480779,"127021923@N08","466894e878",1696,2,"D4F_2365",NA,NA,NA,2016-01-24 00:01:08,2016-01-24 00:01:22,2016-01-01 16:28:40,0,0,85,0,0,16,0,"xuR79C5QUbhRRhLm",1320989,NA,NA,NA,NA,"https://live.staticflickr.com/1696/24201480779_466894e878_s.jpg",75,75,"https://live.staticflickr.com/1696/24201480779_466894e878_t.jpg",100,64,"https://live.staticflickr.com/1696/24201480779_466894e878_m.jpg",240,154,"https://live.staticflickr.com/1696/24201480779_466894e878_q.jpg",150,150,"https://live.staticflickr.com/1696/24201480779_466894e878.jpg",500,322,"https://live.staticflickr.com/1696/24201480779_466894e878_n.jpg",320,206,"https://live.staticflickr.com/1696/24201480779_466894e878_z.jpg",640,412,"https://live.staticflickr.com/1696/24201480779_466894e878_c.jpg",800,515,"https://live.staticflickr.com/1696/24201480779_466894e878_b.jpg",1024,659,"https://live.staticflickr.com/1696/24201480779_62b9f5aeb6_o.jpg",3140,2020,37.3424,11.694097,"c(37.3424, 11.694097)","1","All Rights Reserved","NA"
